Family,Nspecies,estCAMspecies,estCAMspecies [LB],estCAMspecies [UB],estCAMspecies (%),estCAMspecies [LB] (%),estCAMspecies [UB] (%)
Orchidaceae,29872,10181,6800,13082,34.0,22.7,43.8
Cactaceae,1794,1794,1400,1794,100.0,78.0,100.0
Bromeliaceae,3567,1787,1229,2120,50.1,34.5,59.4
Crassulaceae,1621,1621,1229,1621,100.0,75.8,100.0
Euphorbiaceae,6530,1575,1046,2131,24.1,16.0,32.6
Apocynaceae,6487,1367,950,1684,21.1,14.6,26.0
Aizoaceae,1797,1274,929,1435,70.9,51.7,79.9
Asphodelaceae,1213,793,595,814,65.4,49.1,67.1
Piperaceae,3831,708,354,1062,18.5,9.2,27.7
Asteraceae,33994,460,145,839,1.4,0.4,2.5
Asparagaceae,3359,449,302,584,13.4,9.0,17.4
Vitaceae,1022,398,266,530,38.9,26.0,51.9
Clusiaceae,919,242,161,306,26.3,17.5,33.3
Isoetaceae,193,193,145,193,100.0,75.1,100.0
Portulacaceae,193,183,135,193,94.8,69.9,100.0
Montiaceae,276,176,121,224,63.8,43.8,81.2
Commelinaceae,763,133,89,176,17.4,11.7,23.1
Polypodiaceae,4252,111,77,136,2.6,1.8,3.2
Geraniaceae,812,79,17,156,9.7,2.1,19.2
Lamiaceae,7662,79,17,164,1.0,0.2,2.1
Anacampserotaceae,62,62,47,62,100.0,75.8,100.0
Alismataceae,114,39,30,39,34.2,26.3,34.2
Hydrocharitaceae,136,31,22,36,22.8,16.2,26.5
Urticaceae,2074,31,7,152,1.5,0.3,7.3
Pteridaceae,1371,28,18,44,2.0,1.3,3.2
Gesneriaceae,3792,27,21,27,0.7,0.6,0.7
Talinaceae,28,27,21,27,96.4,75.0,96.4
Rubiaceae,14075,24,6,91,0.2,0.0,0.6
Didiereaceae,20,20,18,20,100.0,90.0,100.0
Basellaceae,19,18,14,18,94.7,73.7,94.7
Cucurbitaceae,1052,12,10,12,1.1,1.0,1.1
Passifloraceae,1029,6,2,27,0.6,0.2,2.6
Zamiaceae,248,5,1,9,2.0,0.4,3.6
Plantaginaceae,2106,3,3,3,0.1,0.1,0.1
Welwitschiaceae,1,1,1,1,100.0,100.0,100.0
Halophytaceae,1,1,1,1,100.0,100.0,100.0
Araceae,4175,1,1,1,0.0,0.0,0.0
Zygophyllaceae,286,1,1,2,0.3,0.3,0.7
